Node-Depth,0,1,2,3,4,5,6
D3,NA,NA,NA,NA,NA,NA,1
D4,NA,NA,NA,NA,0.9999977767946276,NA,0.9976035489500861
D0,NA,NA,NA,NA,-0.2497918401332223,NA,0.9763412663567238
D1,NA,NA,NA,NA,1,NA,NA
D2,NA,NA,NA,NA,-0.4993757802746566,NA,0.9962772510934969
D3,NA,NA,NA,NA,NA,NA,1
D4,NA,NA,NA,NA,0.9999978540818587,NA,0.9961253723974522
D0,NA,NA,NA,NA,-0.0644953240890035,NA,0.9806782437547902
D1,NA,NA,NA,NA,1,NA,NA
D2,NA,NA,NA,NA,0.09995002498750627,NA,0.9962668315782582
D3,NA,NA,NA,NA,NA,NA,1
D4,NA,NA,NA,NA,0.9999978270364476,NA,0.9966200322797766
D0,0.0937451174417999,-0.019605920988138376,0.02307514806553331,0.33366674939396007,0.08648181179395704,0.15231283732326734,-0.02999700029997001
D1,NA,1,NA,NA,NA,NA,NA
D2,0.2142718005324331,0.2634017852787667,-0.4441976679622432,0.4935170015265942,0.3525264394829613,0.28268849415636466,-0.018864365214110532
D3,NA,NA,NA,NA,NA,NA,1
D4,0.36580904767711253,0.3978066874529621,0.4285331666815464,0.7784652670242207,0.46265204089247075,0.25485198980592044,0.1350986219940557
D5,NA,NA,NA,NA,NA,1,NA
D6,0.5453719133464624,0.5554784057769755,0.6469953926085678,0.9999977344863292,0.3610108303249099,0.790564505790351,0.6570802780687551
D0,-0.12192148256522799,0.09802960494069209,0.09999000099990002,0.9120122554438242,0.12819417143833864,0.0927739408308422,0.015382248884786953
D1,NA,1,NA,NA,NA,NA,NA
D0,0.17641870038224047,0.345391746955099,0.25575447570332477,0.475681972624017,0.9254461621203277,0.4653004653004654,0.44439506721475375
D1,1,NA,NA,NA,NA,NA,NA
D2,0.37769384581204174,0.13037809647979137,0.9315019415071579,0.34991252186953264,0.19993335554815064,0.9770648344392255,0.8960452738664687
D3,NA,NA,NA,1,NA,NA,NA
D0,0.9294818277954033,0.9035926845136262,0.9999930168085412,0.8876155164180782,0.8833561703740415,0.921468564699077,0.9999930119286372
D0,NA,NA,NA,NA,0.9969988872278495,NA,0.9914157382422211
D1,NA,NA,NA,NA,1,NA,NA
D2,NA,NA,NA,NA,0.9999986948594441,NA,-0.998003992015968
D3,NA,NA,NA,NA,1,NA,NA
D4,NA,NA,NA,NA,0.9999984202236651,NA,0.9999984202236651
D5,NA,NA,NA,NA,1,NA,NA
D6,NA,NA,NA,NA,NA,NA,0.9999991172324196
